SAMLabel,Var,Region,RowLabel,ColLabel,Value
"AggGTAP","SAM","CHN","FRS","FRS",5.0516920E+3
"AggGTAP","SAM","CHN","COA","FRS",2.3699716E+2
"AggGTAP","SAM","CHN","OIL","FRS",0.087286544
"AggGTAP","SAM","CHN","GAS","FRS",2.387786258
"AggGTAP","SAM","CHN","OXT","FRS",3.300610691
"AggGTAP","SAM","CHN","P_C","FRS",1.6838633E+3
"AggGTAP","SAM","CHN","AGR","FRS",3.7569107E+2
"AggGTAP","SAM","CHN","EIT","FRS",4.1940814E+3
"AggGTAP","SAM","CHN","XMN","FRS",2.1233004E+3
"AggGTAP","SAM","CHN","ETD","FRS",1.6636710E+2
"AggGTAP","SAM","CHN","CLP","FRS",2.2807701E+2
"AggGTAP","SAM","CHN","OLP","FRS",26.227173612
"AggGTAP","SAM","CHN","GSP","FRS",11.901661679
"AggGTAP","SAM","CHN","NUC","FRS",8.559107468
"AggGTAP","SAM","CHN","HYD","FRS",62.452834160
"AggGTAP","SAM","CHN","SOL","FRS",2.239059662
"AggGTAP","SAM","CHN","WND","FRS",8.949904149
"AggGTAP","SAM","CHN","XEL","FRS",5.349908970
"AggGTAP","SAM","CHN","SRV","FRS",8.6027249E+3
"AggGTAP","SAM","CHN","itax","FRS",8.2616436E+2
"AggGTAP","SAM","CHN","nsk","FRS",2.4694368E+4
"AggGTAP","SAM","CHN","skl","FRS",1.5514052E+3
"AggGTAP","SAM","CHN","cap","FRS",1.7491145E+4
"AggGTAP","SAM","CHN","lnd","FRS",0.000000000
"AggGTAP","SAM","CHN","nrs","FRS",5.1492920E+3
"AggGTAP","SAM","CHN","vtax","FRS",1.2009523E+3
"AggGTAP","SAM","CHN","FRS","COA",2.3613027E+2
"AggGTAP","SAM","CHN","COA","COA",3.6045253E+3
"AggGTAP","SAM","CHN","OIL","COA",0.677648142
"AggGTAP","SAM","CHN","GAS","COA",0.563910123
"AggGTAP","SAM","CHN","OXT","COA",1.9669852E+2
"AggGTAP","SAM","CHN","P_C","COA",2.3213908E+3
"AggGTAP","SAM","CHN","AGR","COA",0.026152226
"AggGTAP","SAM","CHN","EIT","COA",1.7881404E+4
"AggGTAP","SAM","CHN","XMN","COA",2.4856833E+4
"AggGTAP","SAM","CHN","ETD","COA",2.3488675E+3
"AggGTAP","SAM","CHN","CLP","COA",3.2210668E+3
"AggGTAP","SAM","CHN","OLP","COA",3.7009334E+2
"AggGTAP","SAM","CHN","GSP","COA",1.6709686E+2
"AggGTAP","SAM","CHN","NUC","COA",1.2047461E+2
"AggGTAP","SAM","CHN","HYD","COA",8.8152216E+2
"AggGTAP","SAM","CHN","SOL","COA",31.571079209
"AggGTAP","SAM","CHN","WND","COA",1.2628755E+2
"AggGTAP","SAM","CHN","XEL","COA",75.337612927
"AggGTAP","SAM","CHN","SRV","COA",3.5107088E+4
"AggGTAP","SAM","CHN","itax","COA",3.9792465E+3
"AggGTAP","SAM","CHN","nsk","COA",3.5561283E+4
"AggGTAP","SAM","CHN","skl","COA",3.3457163E+3
"AggGTAP","SAM","CHN","cap","COA",2.1121295E+4
"AggGTAP","SAM","CHN","lnd","COA",0.000000000
"AggGTAP","SAM","CHN","nrs","COA",4.5272316E+4
"AggGTAP","SAM","CHN","vtax","COA",2.5868430E+3
"AggGTAP","SAM","CHN","FRS","OIL",5.502148449
"AggGTAP","SAM","CHN","COA","OIL",1.631721646
"AggGTAP","SAM","CHN","OIL","OIL",3.0406226E+3
"AggGTAP","SAM","CHN","GAS","OIL",6.7724767E+2
"AggGTAP","SAM","CHN","OXT","OIL",3.922012389
"AggGTAP","SAM","CHN","P_C","OIL",4.8963517E+2
"AggGTAP","SAM","CHN","AGR","OIL",0.075422073
"AggGTAP","SAM","CHN","EIT","OIL",9.8644582E+3
"AggGTAP","SAM","CHN","XMN","OIL",8.2125642E+3
"AggGTAP","SAM","CHN","ETD","OIL",7.9904905E+2
"AggGTAP","SAM","CHN","CLP","OIL",1.0958758E+3
"AggGTAP","SAM","CHN","OLP","OIL",1.2587553E+2
"AggGTAP","SAM","CHN","GSP","OIL",56.726766333
"AggGTAP","SAM","CHN","NUC","OIL",40.937717423
"AggGTAP","SAM","CHN","HYD","OIL",2.9985259E+2
"AggGTAP","SAM","CHN","SOL","OIL",10.734850097
"AggGTAP","SAM","CHN","WND","OIL",42.952069663
"AggGTAP","SAM","CHN","XEL","OIL",25.604308426
"AggGTAP","SAM","CHN","SRV","OIL",2.6964846E+4
"AggGTAP","SAM","CHN","itax","OIL",2.4628250E+3
"AggGTAP","SAM","CHN","nsk","OIL",1.0596580E+4
"AggGTAP","SAM","CHN","skl","OIL",9.9695908E+2
"AggGTAP","SAM","CHN","cap","OIL",2.5320367E+4
"AggGTAP","SAM","CHN","lnd","OIL",0.000000000
"AggGTAP","SAM","CHN","nrs","OIL",2.6993246E+4
"AggGTAP","SAM","CHN","vtax","OIL",1.5699601E+3
"AggGTAP","SAM","CHN","FRS","GAS",0.086907641
"AggGTAP","SAM","CHN","COA","GAS",1.0077862E+3
"AggGTAP","SAM","CHN","OIL","GAS",1.0551500E+3
"AggGTAP","SAM","CHN","GAS","GAS",1.2125388E+3
"AggGTAP","SAM","CHN","OXT","GAS",7.769095151
"AggGTAP","SAM","CHN","P_C","GAS",9.8807927E+2
"AggGTAP","SAM","CHN","AGR","GAS",0.037595852
"AggGTAP","SAM","CHN","EIT","GAS",89.405850510
"AggGTAP","SAM","CHN","XMN","GAS",1.3164286E+2
"AggGTAP","SAM","CHN","ETD","GAS",7.6359002E+2
"AggGTAP","SAM","CHN","CLP","GAS",1.0472251E+3
"AggGTAP","SAM","CHN","OLP","GAS",1.2029367E+2
"AggGTAP","SAM","CHN","GSP","GAS",54.228754066
"AggGTAP","SAM","CHN","NUC","GAS",39.128625628
"AggGTAP","SAM","CHN","HYD","GAS",2.8655078E+2
"AggGTAP","SAM","CHN","SOL","GAS",10.259325458
"AggGTAP","SAM","CHN","WND","GAS",41.047498908
"AggGTAP","SAM","CHN","XEL","GAS",24.472108483
"AggGTAP","SAM","CHN","SRV","GAS",5.1400623E+2
"AggGTAP","SAM","CHN","itax","GAS",1.3110615E+2
"AggGTAP","SAM","CHN","nsk","GAS",2.3492816E+2
"AggGTAP","SAM","CHN","skl","GAS",51.594428658
"AggGTAP","SAM","CHN","cap","GAS",5.9624777E+2
"AggGTAP","SAM","CHN","lnd","GAS",0.000000000
"AggGTAP","SAM","CHN","nrs","GAS",3.0934061E+2
"AggGTAP","SAM","CHN","vtax","GAS",29.285717845
"AggGTAP","SAM","CHN","FRS","OXT",1.5528760E+2
"AggGTAP","SAM","CHN","COA","OXT",8.7597791E+2
"AggGTAP","SAM","CHN","OIL","OXT",0.686754674
"AggGTAP","SAM","CHN","GAS","OXT",81.849432409
"AggGTAP","SAM","CHN","OXT","OXT",3.7939116E+4
"AggGTAP","SAM","CHN","P_C","OXT",4.5153898E+3
"AggGTAP","SAM","CHN","AGR","OXT",0.945402084
"AggGTAP","SAM","CHN","EIT","OXT",3.1453704E+4
"AggGTAP","SAM","CHN","XMN","OXT",4.2738971E+4
"AggGTAP","SAM","CHN","ETD","OXT",3.6560634E+3
"AggGTAP","SAM","CHN","CLP","OXT",5.0142570E+3
"AggGTAP","SAM","CHN","OLP","OXT",5.7593364E+2
"AggGTAP","SAM","CHN","GSP","OXT",2.5949680E+2
"AggGTAP","SAM","CHN","NUC","OXT",1.8728870E+2
"AggGTAP","SAM","CHN","HYD","OXT",1.3719672E+3
"AggGTAP","SAM","CHN","SOL","OXT",49.114967376
"AggGTAP","SAM","CHN","WND","OXT",1.9652352E+2
"AggGTAP","SAM","CHN","XEL","OXT",1.1714098E+2
"AggGTAP","SAM","CHN","SRV","OXT",5.7672701E+4
"AggGTAP","SAM","CHN","itax","OXT",1.1044403E+4
"AggGTAP","SAM","CHN","nsk","OXT",5.2401877E+4
"AggGTAP","SAM","CHN","skl","OXT",4.9301320E+3
"AggGTAP","SAM","CHN","cap","OXT",5.4710734E+4
"AggGTAP","SAM","CHN","lnd","OXT",0.000000000
"AggGTAP","SAM","CHN","nrs","OXT",2.1891553E+4
"AggGTAP","SAM","CHN","vtax","OXT",3.2902651E+3
"AggGTAP","SAM","CHN","FRS","P_C",13.054780960
"AggGTAP","SAM","CHN","COA","P_C",5.1354074E+4
"AggGTAP","SAM","CHN","OIL","P_C",3.2550961E+5
"AggGTAP","SAM","CHN","GAS","P_C",1.3665900E+3
"AggGTAP","SAM","CHN","OXT","P_C",64.257106781
"AggGTAP","SAM","CHN","P_C","P_C",1.6741501E+5
"AggGTAP","SAM","CHN","AGR","P_C",0.925856288
"AggGTAP","SAM","CHN","EIT","P_C",8.9871315E+3
"AggGTAP","SAM","CHN","XMN","P_C",5.6900620E+3
"AggGTAP","SAM","CHN","ETD","P_C",4.1341374E+3
"AggGTAP","SAM","CHN","CLP","P_C",5.6684510E+3
"AggGTAP","SAM","CHN","OLP","P_C",6.5155325E+2
"AggGTAP","SAM","CHN","GSP","P_C",2.9490091E+2
"AggGTAP","SAM","CHN","NUC","P_C",2.1235629E+2
"AggGTAP","SAM","CHN","HYD","P_C",1.5517187E+3
"AggGTAP","SAM","CHN","SOL","P_C",55.602111280
"AggGTAP","SAM","CHN","WND","P_C",2.2233497E+2
"AggGTAP","SAM","CHN","XEL","P_C",1.3276543E+2
"AggGTAP","SAM","CHN","SRV","P_C",1.5829162E+4
"AggGTAP","SAM","CHN","itax","P_C",2.3406211E+3
"AggGTAP","SAM","CHN","nsk","P_C",9.4158589E+3
"AggGTAP","SAM","CHN","skl","P_C",1.8577933E+3
"AggGTAP","SAM","CHN","cap","P_C",1.4915943E+4
"AggGTAP","SAM","CHN","lnd","P_C",0.000000000
"AggGTAP","SAM","CHN","nrs","P_C",0.000000000
"AggGTAP","SAM","CHN","vtax","P_C",6.4338138E+2
"AggGTAP","SAM","CHN","FRS","AGR",42.559502413
"AggGTAP","SAM","CHN","COA","AGR",7.9876672E+2
"AggGTAP","SAM","CHN","OIL","AGR",0.016865108
"AggGTAP","SAM","CHN","GAS","AGR",1.128363855
"AggGTAP","SAM","CHN","OXT","AGR",5.705944237
"AggGTAP","SAM","CHN","P_C","AGR",9.0613796E+3
"AggGTAP","SAM","CHN","AGR","AGR",9.6389628E+4
"AggGTAP","SAM","CHN","EIT","AGR",5.6050288E+4
"AggGTAP","SAM","CHN","XMN","AGR",1.1797717E+5
"AggGTAP","SAM","CHN","ETD","AGR",2.0216338E+3
"AggGTAP","SAM","CHN","CLP","AGR",2.7724310E+3
"AggGTAP","SAM","CHN","OLP","AGR",3.1851090E+2
"AggGTAP","SAM","CHN","GSP","AGR",1.4370962E+2
"AggGTAP","SAM","CHN","NUC","AGR",1.0364824E+2
"AggGTAP","SAM","CHN","HYD","AGR",7.5868674E+2
"AggGTAP","SAM","CHN","SOL","AGR",27.167982780
"AggGTAP","SAM","CHN","WND","AGR",1.0868540E+2
"AggGTAP","SAM","CHN","XEL","AGR",64.819390081
"AggGTAP","SAM","CHN","SRV","AGR",4.0221008E+4
"AggGTAP","SAM","CHN","itax","AGR",-3.427555E+3
"AggGTAP","SAM","CHN","nsk","AGR",2.5741912E+5
"AggGTAP","SAM","CHN","skl","AGR",1.6172729E+4
"AggGTAP","SAM","CHN","cap","AGR",6.2200469E+4
"AggGTAP","SAM","CHN","lnd","AGR",1.4909140E+5
"AggGTAP","SAM","CHN","nrs","AGR",0.000000000
"AggGTAP","SAM","CHN","vtax","AGR",-1.540901E+4
"AggGTAP","SAM","CHN","FRS","EIT",2.7278201E+4
"AggGTAP","SAM","CHN","COA","EIT",4.1234689E+4
"AggGTAP","SAM","CHN","OIL","EIT",2.4997709E+3
"AggGTAP","SAM","CHN","GAS","EIT",4.3869546E+3
"AggGTAP","SAM","CHN","OXT","EIT",4.0972370E+5
"AggGTAP","SAM","CHN","P_C","EIT",1.6231759E+5
"AggGTAP","SAM","CHN","AGR","EIT",1.4292947E+4
"AggGTAP","SAM","CHN","EIT","EIT",2.2432176E+6
"AggGTAP","SAM","CHN","XMN","EIT",2.9181640E+5
"AggGTAP","SAM","CHN","ETD","EIT",6.0086447E+4
"AggGTAP","SAM","CHN","CLP","EIT",8.2401988E+4
"AggGTAP","SAM","CHN","OLP","EIT",9.4665788E+3
"AggGTAP","SAM","CHN","GSP","EIT",4.2707510E+3
"AggGTAP","SAM","CHN","NUC","EIT",3.0803903E+3
"AggGTAP","SAM","CHN","HYD","EIT",2.2549350E+4
"AggGTAP","SAM","CHN","SOL","EIT",8.0745530E+2
"AggGTAP","SAM","CHN","WND","EIT",3.2302754E+3
"AggGTAP","SAM","CHN","XEL","EIT",1.9264301E+3
"AggGTAP","SAM","CHN","SRV","EIT",6.4697076E+5
"AggGTAP","SAM","CHN","itax","EIT",2.2197361E+5
"AggGTAP","SAM","CHN","nsk","EIT",3.4459811E+5
"AggGTAP","SAM","CHN","skl","EIT",6.7990829E+4
"AggGTAP","SAM","CHN","cap","EIT",5.5502487E+5
"AggGTAP","SAM","CHN","lnd","EIT",0.000000000
"AggGTAP","SAM","CHN","nrs","EIT",0.000000000
"AggGTAP","SAM","CHN","vtax","EIT",2.3770663E+4
"AggGTAP","SAM","CHN","FRS","XMN",3.4601336E+4
"AggGTAP","SAM","CHN","COA","XMN",6.3761938E+3
"AggGTAP","SAM","CHN","OIL","XMN",79.804305672
"AggGTAP","SAM","CHN","GAS","XMN",9.3076323E+2
"AggGTAP","SAM","CHN","OXT","XMN",8.3222784E+3
"AggGTAP","SAM","CHN","P_C","XMN",1.6340966E+4
"AggGTAP","SAM","CHN","AGR","XMN",4.2939332E+5
"AggGTAP","SAM","CHN","EIT","XMN",1.5881774E+6
"AggGTAP","SAM","CHN","XMN","XMN",3.7657440E+6
"AggGTAP","SAM","CHN","ETD","XMN",2.6918239E+4
"AggGTAP","SAM","CHN","CLP","XMN",3.6913279E+4
"AggGTAP","SAM","CHN","OLP","XMN",4.2413976E+3
"AggGTAP","SAM","CHN","GSP","XMN",1.9153901E+3
"AggGTAP","SAM","CHN","NUC","XMN",1.3808247E+3
"AggGTAP","SAM","CHN","HYD","XMN",1.0102432E+4
"AggGTAP","SAM","CHN","SOL","XMN",3.6182706E+2
"AggGTAP","SAM","CHN","WND","XMN",1.4473014E+3
"AggGTAP","SAM","CHN","XEL","XMN",8.6346877E+2
"AggGTAP","SAM","CHN","SRV","XMN",1.2261621E+6
"AggGTAP","SAM","CHN","itax","XMN",3.2753809E+5
"AggGTAP","SAM","CHN","nsk","XMN",8.1089379E+5
"AggGTAP","SAM","CHN","skl","XMN",1.5531319E+5
"AggGTAP","SAM","CHN","cap","XMN",8.5904242E+5
"AggGTAP","SAM","CHN","lnd","XMN",0.000000000
"AggGTAP","SAM","CHN","nrs","XMN",0.000000000
"AggGTAP","SAM","CHN","vtax","XMN",4.4839574E+4
"AggGTAP","SAM","CHN","FRS","ETD",6.394960999
"AggGTAP","SAM","CHN","COA","ETD",0.000000000
"AggGTAP","SAM","CHN","OIL","ETD",0.000000000
"AggGTAP","SAM","CHN","GAS","ETD",0.000000000
"AggGTAP","SAM","CHN","OXT","ETD",45.585525274
"AggGTAP","SAM","CHN","P_C","ETD",66.829633236
"AggGTAP","SAM","CHN","AGR","ETD",16.906995267
"AggGTAP","SAM","CHN","EIT","ETD",1.8166116E+3
"AggGTAP","SAM","CHN","XMN","ETD",3.0835051E+4
"AggGTAP","SAM","CHN","ETD","ETD",3.0522886E+3
"AggGTAP","SAM","CHN","CLP","ETD",4.1868455E+3
"AggGTAP","SAM","CHN","OLP","ETD",4.8068404E+2
"AggGTAP","SAM","CHN","GSP","ETD",2.1598646E+2
"AggGTAP","SAM","CHN","NUC","ETD",1.5610182E+2
"AggGTAP","SAM","CHN","HYD","ETD",1.1452396E+3
"AggGTAP","SAM","CHN","SOL","ETD",40.975077838
"AggGTAP","SAM","CHN","WND","ETD",1.6401829E+2
"AggGTAP","SAM","CHN","XEL","ETD",97.659117669
"AggGTAP","SAM","CHN","SRV","ETD",4.8782420E+4
"AggGTAP","SAM","CHN","itax","ETD",4.8325227E+3
"AggGTAP","SAM","CHN","nsk","ETD",2.6516496E+4
"AggGTAP","SAM","CHN","skl","ETD",7.9486323E+3
"AggGTAP","SAM","CHN","cap","ETD",2.4145590E+4
"AggGTAP","SAM","CHN","lnd","ETD",0.000000000
"AggGTAP","SAM","CHN","nrs","ETD",0.000000000
"AggGTAP","SAM","CHN","vtax","ETD",1.4398479E+3
"AggGTAP","SAM","CHN","FRS","CLP",2.221617579
"AggGTAP","SAM","CHN","COA","CLP",1.2115068E+5
"AggGTAP","SAM","CHN","OIL","CLP",0.000000000
"AggGTAP","SAM","CHN","GAS","CLP",0.000000000
"AggGTAP","SAM","CHN","OXT","CLP",9.544180155
"AggGTAP","SAM","CHN","P_C","CLP",1.8439328E+3
"AggGTAP","SAM","CHN","AGR","CLP",5.873511050
"AggGTAP","SAM","CHN","EIT","CLP",6.3109329E+2
"AggGTAP","SAM","CHN","XMN","CLP",1.0712138E+4
"AggGTAP","SAM","CHN","ETD","CLP",5.6797057E+3
"AggGTAP","SAM","CHN","CLP","CLP",7.7908917E+3
"AggGTAP","SAM","CHN","OLP","CLP",8.9445808E+2
"AggGTAP","SAM","CHN","GSP","CLP",4.0190815E+2
"AggGTAP","SAM","CHN","NUC","CLP",2.9047463E+2
"AggGTAP","SAM","CHN","HYD","CLP",2.1310647E+3
"AggGTAP","SAM","CHN","SOL","CLP",76.246530190
"AggGTAP","SAM","CHN","WND","CLP",3.0520566E+2
"AggGTAP","SAM","CHN","XEL","CLP",1.8172431E+2
"AggGTAP","SAM","CHN","SRV","CLP",1.1955710E+4
"AggGTAP","SAM","CHN","itax","CLP",1.6056286E+4
"AggGTAP","SAM","CHN","nsk","CLP",8.6178402E+3
"AggGTAP","SAM","CHN","skl","CLP",1.1167956E+3
"AggGTAP","SAM","CHN","cap","CLP",2.3368258E+4
"AggGTAP","SAM","CHN","lnd","CLP",0.000000000
"AggGTAP","SAM","CHN","nrs","CLP",0.000000000
"AggGTAP","SAM","CHN","vtax","CLP",8.1321567E+2
"AggGTAP","SAM","CHN","FRS","OLP",0.279960491
"AggGTAP","SAM","CHN","COA","OLP",0.000000000
"AggGTAP","SAM","CHN","OIL","OLP",1.2905766E+2
"AggGTAP","SAM","CHN","GAS","OLP",0.000000000
"AggGTAP","SAM","CHN","OXT","OLP",1.202724375
"AggGTAP","SAM","CHN","P_C","OLP",1.6847516E+4
"AggGTAP","SAM","CHN","AGR","OLP",0.740159291
"AggGTAP","SAM","CHN","EIT","OLP",79.528181463
"AggGTAP","SAM","CHN","XMN","OLP",1.3499063E+3
"AggGTAP","SAM","CHN","ETD","OLP",1.2333498E+2
"AggGTAP","SAM","CHN","CLP","OLP",1.6917944E+2
"AggGTAP","SAM","CHN","OLP","OLP",19.423182017
"AggGTAP","SAM","CHN","GSP","OLP",8.727447094
"AggGTAP","SAM","CHN","NUC","OLP",6.307664925
"AggGTAP","SAM","CHN","HYD","OLP",46.276131742
"AggGTAP","SAM","CHN","SOL","OLP",1.655695463
"AggGTAP","SAM","CHN","WND","OLP",6.627549100
"AggGTAP","SAM","CHN","XEL","OLP",3.946148719
"AggGTAP","SAM","CHN","SRV","OLP",1.4925549E+3
"AggGTAP","SAM","CHN","itax","OLP",2.0500156E+3
"AggGTAP","SAM","CHN","nsk","OLP",1.0859903E+3
"AggGTAP","SAM","CHN","skl","OLP",2.2177536E+2
"AggGTAP","SAM","CHN","cap","OLP",8.5780170E+2
"AggGTAP","SAM","CHN","lnd","OLP",0.000000000
"AggGTAP","SAM","CHN","nrs","OLP",0.000000000
"AggGTAP","SAM","CHN","vtax","OLP",53.199913025
"AggGTAP","SAM","CHN","FRS","GSP",0.194756275
"AggGTAP","SAM","CHN","COA","GSP",0.000000000
"AggGTAP","SAM","CHN","OIL","GSP",0.000000000
"AggGTAP","SAM","CHN","GAS","GSP",2.4972780E+3
"AggGTAP","SAM","CHN","OXT","GSP",0.836682700
"AggGTAP","SAM","CHN","P_C","GSP",1.9026186E+3
"AggGTAP","SAM","CHN","AGR","GSP",0.514896556
"AggGTAP","SAM","CHN","EIT","GSP",55.324277282
"AggGTAP","SAM","CHN","XMN","GSP",9.3907081E+2
"AggGTAP","SAM","CHN","ETD","GSP",3.5923847E+2
"AggGTAP","SAM","CHN","CLP","GSP",4.9276986E+2
"AggGTAP","SAM","CHN","OLP","GSP",56.574006151
"AggGTAP","SAM","CHN","GSP","GSP",25.420480996
"AggGTAP","SAM","CHN","NUC","GSP",18.372369424
"AggGTAP","SAM","CHN","HYD","GSP",1.3478874E+2
"AggGTAP","SAM","CHN","SOL","GSP",4.822553255
"AggGTAP","SAM","CHN","WND","GSP",19.304099118
"AggGTAP","SAM","CHN","XEL","GSP",11.493969511
"AggGTAP","SAM","CHN","SRV","GSP",1.0383051E+3
"AggGTAP","SAM","CHN","itax","GSP",7.0276349E+2
"AggGTAP","SAM","CHN","nsk","GSP",7.5547596E+2
"AggGTAP","SAM","CHN","skl","GSP",1.5427941E+2
"AggGTAP","SAM","CHN","cap","GSP",1.7422236E+3
"AggGTAP","SAM","CHN","lnd","GSP",0.000000000
"AggGTAP","SAM","CHN","nrs","GSP",0.000000000
"AggGTAP","SAM","CHN","vtax","GSP",65.149312973
"AggGTAP","SAM","CHN","FRS","NUC",0.310568854
"AggGTAP","SAM","CHN","COA","NUC",0.000000000
"AggGTAP","SAM","CHN","OIL","NUC",0.000000000
"AggGTAP","SAM","CHN","GAS","NUC",0.000000000
"AggGTAP","SAM","CHN","OXT","NUC",13.342193723
"AggGTAP","SAM","CHN","P_C","NUC",0.000000000
"AggGTAP","SAM","CHN","AGR","NUC",0.821081616
"AggGTAP","SAM","CHN","EIT","NUC",88.223076284
"AggGTAP","SAM","CHN","XMN","NUC",1.4974931E+3
"AggGTAP","SAM","CHN","ETD","NUC",2.0441252E+2
"AggGTAP","SAM","CHN","CLP","NUC",2.8039404E+2
"AggGTAP","SAM","CHN","OLP","NUC",32.191527926
"AggGTAP","SAM","CHN","GSP","NUC",14.464666033
"AggGTAP","SAM","CHN","NUC","NUC",10.454176612
"AggGTAP","SAM","CHN","HYD","NUC",76.696978593
"AggGTAP","SAM","CHN","SOL","NUC",2.744110951
"AggGTAP","SAM","CHN","WND","NUC",10.984345419
"AggGTAP","SAM","CHN","XEL","NUC",6.540254977
"AggGTAP","SAM","CHN","SRV","NUC",1.6557374E+3
"AggGTAP","SAM","CHN","itax","NUC",2.0297489E+2
"AggGTAP","SAM","CHN","nsk","NUC",1.1134125E+3
"AggGTAP","SAM","CHN","skl","NUC",3.7846321E+2
"AggGTAP","SAM","CHN","cap","NUC",2.2718354E+3
"AggGTAP","SAM","CHN","lnd","NUC",0.000000000
"AggGTAP","SAM","CHN","nrs","NUC",0.000000000
"AggGTAP","SAM","CHN","vtax","NUC",92.460338593
"AggGTAP","SAM","CHN","FRS","HYD",0.931140985
"AggGTAP","SAM","CHN","COA","HYD",0.000000000
"AggGTAP","SAM","CHN","OIL","HYD",0.000000000
"AggGTAP","SAM","CHN","GAS","HYD",0.000000000
"AggGTAP","SAM","CHN","OXT","HYD",4.000228785
"AggGTAP","SAM","CHN","P_C","HYD",0.000000000
"AggGTAP","SAM","CHN","AGR","HYD",2.461749932
"AggGTAP","SAM","CHN","EIT","HYD",2.6450859E+2
"AggGTAP","SAM","CHN","XMN","HYD",4.4897524E+3
"AggGTAP","SAM","CHN","ETD","HYD",1.2240510E+3
"AggGTAP","SAM","CHN","CLP","HYD",1.6790392E+3
"AggGTAP","SAM","CHN","OLP","HYD",1.9276741E+2
"AggGTAP","SAM","CHN","GSP","HYD",86.616466507
"AggGTAP","SAM","CHN","NUC","HYD",62.601086013
"AggGTAP","SAM","CHN","HYD","HYD",4.5927235E+2
"AggGTAP","SAM","CHN","SOL","HYD",16.432124024
"AggGTAP","SAM","CHN","WND","HYD",65.775810946
"AggGTAP","SAM","CHN","XEL","HYD",39.163971025
"AggGTAP","SAM","CHN","SRV","HYD",4.9641974E+3
"AggGTAP","SAM","CHN","itax","HYD",6.5538386E+2
"AggGTAP","SAM","CHN","nsk","HYD",3.6119743E+3
"AggGTAP","SAM","CHN","skl","HYD",6.5458630E+2
"AggGTAP","SAM","CHN","cap","HYD",3.8979615E+4
"AggGTAP","SAM","CHN","lnd","HYD",0.000000000
"AggGTAP","SAM","CHN","nrs","HYD",0.000000000
"AggGTAP","SAM","CHN","vtax","HYD",1.0624003E+3
"AggGTAP","SAM","CHN","FRS","SOL",0.059773458
"AggGTAP","SAM","CHN","COA","SOL",0.000000000
"AggGTAP","SAM","CHN","OIL","SOL",0.000000000
"AggGTAP","SAM","CHN","GAS","SOL",0.000000000
"AggGTAP","SAM","CHN","OXT","SOL",0.256789781
"AggGTAP","SAM","CHN","P_C","SOL",0.000000000
"AggGTAP","SAM","CHN","AGR","SOL",0.158029014
"AggGTAP","SAM","CHN","EIT","SOL",16.979804382
"AggGTAP","SAM","CHN","XMN","SOL",2.8821413E+2
"AggGTAP","SAM","CHN","ETD","SOL",37.398424082
"AggGTAP","SAM","CHN","CLP","SOL",51.299675711
"AggGTAP","SAM","CHN","OLP","SOL",5.889622026
"AggGTAP","SAM","CHN","GSP","SOL",2.646392299
"AggGTAP","SAM","CHN","NUC","SOL",1.912650662
"AggGTAP","SAM","CHN","HYD","SOL",14.032145194
"AggGTAP","SAM","CHN","SOL","SOL",0.502050614
"AggGTAP","SAM","CHN","WND","SOL",2.009647960
"AggGTAP","SAM","CHN","XEL","SOL",1.196576561
"AggGTAP","SAM","CHN","SRV","SOL",3.1867054E+2
"AggGTAP","SAM","CHN","itax","SOL",38.916520267
"AggGTAP","SAM","CHN","nsk","SOL",2.1429229E+2
"AggGTAP","SAM","CHN","skl","SOL",30.047811508
"AggGTAP","SAM","CHN","cap","SOL",1.0355414E+3
"AggGTAP","SAM","CHN","lnd","SOL",0.000000000
"AggGTAP","SAM","CHN","nrs","SOL",0.000000000
"AggGTAP","SAM","CHN","vtax","SOL",31.441978455
"AggGTAP","SAM","CHN","FRS","WND",0.172241695
"AggGTAP","SAM","CHN","COA","WND",0.000000000
"AggGTAP","SAM","CHN","OIL","WND",0.000000000
"AggGTAP","SAM","CHN","GAS","WND",0.000000000
"AggGTAP","SAM","CHN","OXT","WND",0.739958964
"AggGTAP","SAM","CHN","P_C","WND",0.000000000
"AggGTAP","SAM","CHN","AGR","WND",0.455372553
"AggGTAP","SAM","CHN","EIT","WND",48.928576544
"AggGTAP","SAM","CHN","XMN","WND",8.3051059E+2
"AggGTAP","SAM","CHN","ETD","WND",1.8303172E+2
"AggGTAP","SAM","CHN","CLP","WND",2.5106588E+2
"AggGTAP","SAM","CHN","OLP","WND",28.824415080
"AggGTAP","SAM","CHN","GSP","WND",12.951716181
"AggGTAP","SAM","CHN","NUC","WND",9.360708959
"AggGTAP","SAM","CHN","HYD","WND",68.674760776
"AggGTAP","SAM","CHN","SOL","WND",2.457087405
"AggGTAP","SAM","CHN","WND","WND",9.835423588
"AggGTAP","SAM","CHN","XEL","WND",5.856168674
"AggGTAP","SAM","CHN","SRV","WND",9.1827308E+2
"AggGTAP","SAM","CHN","itax","WND",1.1790768E+2
"AggGTAP","SAM","CHN","nsk","WND",6.1749926E+2
"AggGTAP","SAM","CHN","skl","WND",1.3644411E+2
"AggGTAP","SAM","CHN","cap","WND",4.9935942E+3
"AggGTAP","SAM","CHN","lnd","WND",0.000000000
"AggGTAP","SAM","CHN","nrs","WND",0.000000000
"AggGTAP","SAM","CHN","vtax","WND",1.4119587E+2
"AggGTAP","SAM","CHN","FRS","XEL",0.161958547
"AggGTAP","SAM","CHN","COA","XEL",0.000000000
